CourseCode,Subject,Code,Section,Class Type,Class Number,Enroll Limit,Enroll Number,Waitlist Limit,Waitlist Number,Time-start,Time-end,M Bool,T Bool,W Bool,Th Bool,F Bool
LAT202,LAT,202,001,LEC,3209,20,9,0,0,2:30PM,3:50PM,False,True,False,True,False
LS101,LS,101,001,LEC,3558,200,66,0,0,2:30PM,3:50PM,True,False,True,False,False
LS201,LS,201,001,LEC,4305,65,57,0,0,6:30PM,9:20AM,False,True,False,False,False
LS250,LS,250,001,LEC,8136,40,40,0,0,11:30AM,12:50AM,False,True,False,True,False
LS280,LS,280,001,LEC,8890,5,5,0,0,6:30PM,9:20AM,False,True,False,False,False
LS322,LS,322,001,LEC,3499,55,56,0,0,8:30AM,9:50AM,False,False,True,False,False
LS401,LS,401,001,SEM,3352,20,20,0,0,12:30AM,2:20PM,False,False,True,False,False
LS401,LS,401,002,SEM,3353,18,18,0,0,2:30PM,4:20PM,False,True,False,True,False
LS402,LS,402,002,SEM,3309,18,18,0,0,12:30AM,2:20PM,False,True,False,True,False
LS403,LS,403,001,LEC,3701,60,61,0,0,2:30PM,5:20PM,True,False,False,False,False
LS496,LS,496,001,SEM,4126,25,24,0,0,2:30PM,5:20PM,False,False,True,False,False
LS496,LS,496,002,SEM,3908,25,25,0,0,8:30AM,11:20AM,False,True,False,False,False
LS496,LS,496,003,SEM,4262,18,18,0,0,10:30AM,12:20AM,False,True,False,True,False
LS496,LS,496,004,SEM,8817,20,19,0,0,12:30AM,2:20PM,True,False,False,False,False
MATBUS470,MATBUS,470,001,LEC,6113,150,142,0,0,10:00AM,11:20AM,True,False,True,False,False
MATBUS471,MATBUS,471,001,LEC,6127,96,63,0,0,10:00AM,11:20AM,False,True,False,True,False
MATBUS472,MATBUS,472,001,LEC,6114,96,76,0,0,11:30AM,12:50AM,False,True,False,True,False
MATH114,MATH,114,001,LEC,6277,64,32,0,0,9:30AM,10:20AM,True,False,True,False,True
MATH114,MATH,114,101,TUT,6574,64,32,0,0,5:30PM,6:20PM,False,False,True,False,False
MATH118,MATH,118,001,LEC,5893,90,80,0,0,2:30PM,3:20PM,True,False,False,False,False
MATH118,MATH,118,101,TUT,5896,45,40,0,0,12:30AM,2:20PM,False,False,False,False,True
MATH118,MATH,118,102,TUT,5897,45,40,0,0,12:30AM,2:20PM,False,False,False,False,True
MATH118,MATH,118,002,LEC,5894,150,144,0,0,12:30AM,1:20PM,True,False,False,False,False
